Language,NUM_VEHICLES,ACCIDENT_PROBABILITY,ROAD_CAPACITY,INTERSECTION_CAPACITY,GREEN_DURATION,YELLOW_DURATION,RED_DURATION,Execution Time (s),Current Memory (MB),Peak Memory (MB)
Python,500,0.0001,10,5,60,30,60,123.9816415309906,0.175328,226.634435
Python,500,0.001,10,5,60,30,60,163.73601150512695,0.175866,295.075007
Python,1000,0.0001,10,5,60,30,60,144.3066604137421,0.175616,230.785102
